date,middlePB,equalWeightAveragePB,close,quantileInAllHistoryMiddlePB,quantileInRecent10YearsMiddlePB,quantileInAllHistoryEqualWeightAveragePB,quantileInRecent10YearsEqualWeightAveragePB
20240102,2.53,3.29,2962.28,0.35025,0.29325,0.27781,0.17381
20240103,2.51,3.25,2967.25,0.33543,0.27224,0.25737,0.14786
20240104,2.51,3.24,2954.35,0.33557,0.27254,0.25298,0.14162
20240105,2.46,3.17,2929.18,0.29324,0.21687,0.21782,0.10535
20240108,2.4,3.09,2887.54,0.25092,0.16886,0.18115,0.07043
20240109,2.42,3.11,2893.25,0.26278,0.1841,0.18977,0.07702
20240110,2.4,3.08,2877.7,0.25103,0.16928,0.17804,0.06796
20240111,2.44,3.13,2886.65,0.27783,0.19967,0.19792,0.08563
20240112,2.39,3.09,2881.98,0.24529,0.16255,0.18142,0.07119
20240115,2.38,3.08,2886.29,0.23766,0.15445,0.17814,0.06837
20240116,2.38,3.08,2893.99,0.23783,0.15486,0.17832,0.06878
20240117,2.32,3.0,2833.62,0.19494,0.10379,0.1534,0.05148
20240118,2.31,3.0,2845.78,0.18949,0.09922,0.15358,0.05187
20240119,2.28,2.96,2832.28,0.16955,0.07737,0.1436,0.04815
20240122,2.14,2.81,2756.34,0.11481,0.03542,0.112,0.03418
20240123,2.14,2.82,2770.98,0.115,0.03583,0.11371,0.0346
20240124,2.17,2.85,2820.77,0.12514,0.04036,0.12146,0.03707
20240125,2.24,2.93,2906.11,0.15341,0.06546,0.13915,0.04776
20240126,2.23,2.92,2910.22,0.15014,0.06214,0.13783,0.0465
20240129,2.15,2.82,2883.36,0.11944,0.03748,0.11382,0.03501
20240130,2.08,2.73,2830.53,0.09998,0.02759,0.10063,0.02512
20240131,1.96,2.62,2788.55,0.07146,0.00659,0.08204,0.00823
20240201,1.93,2.59,2770.74,0.06799,0.0037,0.07921,0.00535
20240202,1.84,2.48,2730.15,0.05913,0.00041,0.06949,0.00082
20240205,1.67,2.29,2702.19,0.0315,0.00041,0.05696,0.00041
20240206,1.72,2.36,2789.49,0.04055,0.00082,0.06277,0.00082
20240207,1.68,2.33,2829.7,0.03278,0.00082,0.06103,0.00082
20240208,1.8,2.46,2865.9,0.05692,0.00164,0.06835,0.00164
20240219,1.86,2.55,2910.54,0.06144,0.00288,0.07696,0.00494
20240220,1.88,2.58,2922.73,0.06379,0.0033,0.07888,0.00577
20240221,1.92,2.61,2950.96,0.06874,0.00577,0.08274,0.0103
20240222,1.97,2.67,2988.36,0.07518,0.01318,0.08875,0.01606
20240223,2.03,2.74,3004.88,0.08378,0.01853,0.10467,0.03211
20240226,2.05,2.78,2977.02,0.09087,0.02431,0.1096,0.03626
20240227,2.12,2.86,3015.48,0.11281,0.03832,0.12702,0.04532
20240228,1.97,2.69,2957.85,0.07533,0.0136,0.0932,0.02101
20240229,2.05,2.79,3015.17,0.09124,0.02512,0.11168,0.03789
20240301,2.08,2.82,3027.02,0.10306,0.03417,0.11704,0.04199
