date,close,total_market_cap,gdp,quantile_10y,quantile_all
20240102,3386.35,871821.65,1349084.0,0.28701,0.42468
20240108,3286.06,845138.63,1349084.0,0.21628,0.37582
20240109,3292.5,847127.99,1349084.0,0.22245,0.38013
20240110,3277.13,841631.41,1349084.0,0.20847,0.36974
20240111,3295.67,847265.62,1349084.0,0.22277,0.3804
20240112,3284.17,843936.6,1349084.0,0.21364,0.3744
20240115,3280.92,844467.77,1349084.0,0.21299,0.37475
20240116,3300.88,846281.31,1349084.0,0.21875,0.3784
20240117,3229.08,827828.5,1349084.0,0.17599,0.34677
20240118,3274.73,831327.53,1349084.0,0.18331,0.35195
20240119,3269.78,826180.63,1349084.0,0.17338,0.34508
20240122,3218.9,800267.29,1349084.0,0.12911,0.31392
20240123,3231.93,805270.92,1349084.0,0.13857,0.32042
20240124,3277.11,818516.44,1349084.0,0.15954,0.33589
20240125,3342.92,842349.01,1349084.0,0.20838,0.37147
20240126,3333.82,841712.46,1349084.0,0.20748,0.37052
20240129,3303.96,830775.7,1349084.0,0.1801,0.35119
20240130,3245.04,813491.46,1349084.0,0.14803,0.3286
20240131,3215.35,798800.0,1349084.0,0.12495,0.31235
20240201,3217.71,793472.73,1349084.0,0.11956,0.30813
20240202,3179.63,779146.78,1349084.0,0.10883,0.29954
20240205,3200.42,765537.09,1349084.0,0.10057,0.28986
20240206,3311.69,792966.3,1349084.0,0.12023,0.30836
20240207,3343.63,802365.78,1349084.0,0.13459,0.3179
20240208,3364.93,816818.73,1349084.0,0.15833,0.33573
20240208,3364.93,816818.73,1349084.0,0.22149,0.38245
20240219,3403.81,831429.91,1349084.0,0.18182,0.35378
20240219,3403.81,831429.91,1349084.0,0.25792,0.40943
20240220,3410.85,835576.86,1349084.0,0.19087,0.36068
20240220,3410.85,835576.86,1349084.0,0.26532,0.41654
20240221,3456.87,843456.35,1349084.0,0.20897,0.375
20240221,3456.87,843456.35,1349084.0,0.29124,0.43477
20240222,3486.67,854090.11,1349084.0,0.23396,0.39215
20240223,3489.74,859762.31,1349084.0,0.25154,0.40406
20240226,3453.36,855099.3,1349084.0,0.23653,0.39438
20240227,3494.79,869096.47,1349084.0,0.2752,0.42088
20240228,3450.26,847244.28,1349084.0,0.21966,0.38287
20240229,3516.08,866858.2,1349084.0,0.27097,0.41808
20240301,3537.8,872102.24,1349084.0,0.28812,0.42997
20240304,3540.87,875657.9,1349084.0,0.30058,0.43794
20240305,3565.51,876014.73,1349084.0,0.30304,0.43958
20240306,3551.05,875106.75,1349084.0,0.29852,0.43666
20240307,3529.72,870018.49,1349084.0,0.27796,0.42437
20240308,3544.91,877925.44,1349084.0,0.31237,0.44669
20240311,3589.26,886596.21,1349084.0,0.33224,0.46269
20240312,3597.49,884886.62,1349084.0,0.32689,0.4589
20240313,3572.36,882225.03,1349084.0,0.32072,0.45401
20240314,3562.22,880141.19,1349084.0,0.31579,0.45
20240315,3569.99,885343.6,1349084.0,0.3284,0.46055
20240318,3603.53,895626.06,1349084.0,0.35115,0.47849
20240319,3577.63,890533.08,1349084.0,0.34005,0.46948
20240320,3585.38,895458.65,1349084.0,0.35074,0.47828
20240321,3581.09,894344.48,1349084.0,0.3491,0.47709
20240322,3545.0,885654.08,1349084.0,0.32799,0.46092
20240325,3525.76,876335.68,1349084.0,0.30099,0.44042
20240326,3543.75,878166.95,1349084.0,0.30839,0.4464
20240327,3502.79,864021.72,1349084.0,0.25535,0.41094
20240328,3520.96,872088.93,1349084.0,0.28084,0.42863
20240329,3537.48,880516.41,1349084.0,0.31402,0.45088
20240401,3595.65,893608.16,1349084.0,0.34745,0.47637
20240402,3580.68,892638.34,1349084.0,0.34416,0.47409
20240403,3567.8,889761.5,1349084.0,0.33635,0.46857
20240408,3536.41,881130.93,1349084.0,0.3151,0.45222
20240409,3533.49,883210.35,1349084.0,0.31962,0.45602
20240410,3504.71,874733.76,1349084.0,0.28918,0.4347
20240411,3504.24,875527.5,1349084.0,0.29165,0.43634
20240412,3475.84,870058.67,1349084.0,0.26933,0.42282
20240415,3549.08,877455.82,1349084.0,0.30234,0.44372
20240416,3511.11,858061.81,1349084.0,0.23324,0.39862
20240417,3565.4,880084.12,1349084.0,0.31016,0.44981
20240418,3569.8,880042.33,1349084.0,0.30975,0.44971
20240419,3541.66,877216.08,1349084.0,0.30058,0.44291
20240422,3530.9,871186.41,1349084.0,0.27273,0.42595
20240423,3506.22,866229.85,1349084.0,0.25586,0.41396
20240424,3521.62,873578.1,1349084.0,0.28301,0.43246
