date,index_close,spread,spread_ma
20240102,3386.35,0.070831,0.05927
20240103,3378.3,0.071462,0.059321
20240104,3347.05,0.072003,0.059342
20240105,3329.11,0.072672,0.059364
20240108,3286.06,0.073678,0.059482
20240109,3292.5,0.073952,0.059536
20240110,3277.13,0.074422,0.05959
20240111,3295.67,0.07451,0.059614
20240112,3284.17,0.07443,0.059639
20240115,3280.92,0.074192,0.05975
20240116,3300.88,0.073562,0.059803
20240117,3229.08,0.075628,0.059858
20240118,3274.73,0.074609,0.059882
20240119,3269.78,0.074873,0.059907
20240122,3218.9,0.07619,0.060021
20240123,3231.93,0.075866,0.060077
20240124,3277.11,0.074066,0.060128
20240125,3342.92,0.071728,0.060147
20240126,3333.82,0.071345,0.060166
20240129,3303.96,0.071678,0.060251
20240130,3245.04,0.073578,0.060296
20240131,3215.35,0.074095,0.060339
20240201,3217.71,0.074558,0.060363
20240202,3179.63,0.07516,0.060387
20240205,3200.42,0.074326,0.060482
20240206,3311.69,0.071444,0.060523
20240207,3343.63,0.071358,0.060564
20240208,3364.93,0.07095,0.060581
20240219,3403.81,0.069201,0.060796
20240220,3410.85,0.069063,0.060833
20240221,3456.87,0.068047,0.060866
20240222,3486.67,0.067208,0.060876
20240223,3489.74,0.067232,0.060887
20240226,3453.36,0.068889,0.06097
20240227,3494.79,0.067934,0.061003
20240228,3450.26,0.069561,0.061039
20240229,3516.08,0.068284,0.061052
20240301,3537.8,0.067649,0.061095
20240304,3540.87,0.067434,0.061156
20240305,3565.51,0.066921,0.061165
20240306,3551.05,0.06793,0.061177
20240307,3529.72,0.067886,0.061207
20240308,3544.91,0.067265,0.061237
20240311,3589.26,0.066636,0.06131
20240312,3597.49,0.066858,0.061319
20240313,3572.36,0.067666,0.06133
20240314,3562.22,0.067567,0.061362
20240315,3569.99,0.067709,0.061393
20240318,3603.53,0.067327,0.061458
20240319,3577.63,0.067943,0.061469
20240320,3585.38,0.06722,0.061479
20240321,3581.09,0.067483,0.061489
