analyst_name,analyst_id,org_name,year,industry,stock_count,avg_return,success_rate,rank,score
任志强,11000213851,华福证券,2024,电子,0,135.17,,1,6424.01
洪烨,11000341237,中国银河,2024,汽车,5,118.58,,2,2185.79
张宁,11000455635,国联民生,2024,通信,19,113.61,,3,2136.08
范想想,11000280036,中国银河,2024,,27,110.82,,4,2398.42
徐巡,11000409032,华福证券,2024,电子,0,105.1,,5,2051.02
黄俊伟,11000232829,华鑫证券,2024,计算机,0,103.35,,6,1493.19
周晴,11000463543,中邮证券,2024,电子,4,100.75,,7,2007.48
杜鹏辉,11000345336,天风证券,2024,非银金融,6,79.81,,8,1798.08
曾广荣,11000269833,国联民生,2024,非银金融,0,79.4,,9,2089.18
熊翊宇,11000331443,华创证券,2024,电子,6,77.44,,10,1676.72
苏仪,11000301031,中泰证券,2024,计算机,7,73.23,,11,1563.02
陈安宇,11000445446,国联民生,2024,计算机,3,71.72,,12,1717.2
程丽丽,11000456532,信达证券,2024,食品饮料,10,69.91,,13,1699.1
周天恩,11000454135,华福证券,2024,通信,0,68.99,,14,1646.34
韩东,11000279133,广发证券,2024,通信,3,67.18,,15,1571.17
蒋峤,11000259646,中泰证券,2024,非银金融,0,64.21,,16,2766.67
胡易琛,11000403631,东北证券,2024,电力设备,4,63.79,,17,1637.88
李紫忆,11000431231,东莞证券,2024,,2,62.46,,18,1064.76
许英博,11000172336,中信证券,2024,机械设备,1,62.11,,19,3597.49
舒迪,11000306933,国泰海通,2024,电子,40,61.93,,20,1619.33
周彪,11000454535,江海证券,2024,,3,57.11,,21,1575.5
吕子炜,11000325831,东莞证券,2024,基础化工,0,55.19,,22,1582.71
傅楚雄,11000208434,中国银河,2024,,5,53.22,,23,2181.07
王猛,11000236829,国泰海通,2024,汽车,3,52.57,,24,1734.95
屈俊,11000232628,东方证券,2024,银行,9,51.95,,25,1408.09
苏千叶,11000370162,中邮证券,2024,电力设备,5,51.09,,26,1510.87
刘淇,11000258730,广发证券,2024,非银金融,3,50.66,,27,1003.96
石岩,11000259933,国泰海通,2024,电力设备,0,50.49,,28,894.85
王凯婕,11000338733,申万宏源,2024,交通运输,2,50.09,,29,1413.18
张宇,11000172874,华福证券,2024,银行,4,49.89,,30,1831.18
王晶,11000176459,东方证券,2024,非银金融,2,49.78,,31,1256.3
洪希柠,11000413432,国金证券,2024,非银金融,7,49.31,,32,1493.15
于海宁,11000186920,长江证券,2024,通信,24,48.69,,33,2030.52
唐贵云,11000301133,红塔证券,2024,电力设备,1,46.49,,34,1915.33
陈晓霞,11000180391,第一上海证券,2024,电力设备,1,46.11,,35,1046.68
武钇西,11000393555,国联民生,2024,机械设备,0,45.34,,36,1453.39
陈蓉芳,11000366131,开源证券,2024,电子,36,44.91,,37,1449.05
吴一凡,11000309634,长江证券,2024,非银金融,14,44.11,,38,1182.33
宋嘉吉,11000177081,国盛证券,2024,通信,18,43.94,,39,10786.77
黄亚元,11000280134,中信证券,2024,通信,31,43.79,,40,1916.11
郭其伟,11000260633,华福证券,2024,银行,0,43.76,,41,1268.37
孙冀齐,11000442640,申万宏源,2024,非银金融,2,43.52,,42,1187.31
莫文宇,11000201532,信达证券,2024,电子,3,43.12,,43,1277.99
刘雨辰,11000260640,国联民生,2024,非银金融,24,42.94,,44,2194.61
赵良毕,11000277137,中国银河,2024,通信,14,42.67,,45,2023.22
倪军,11000176129,广发证券,2024,银行,15,42.66,,46,1427.58
郑欣怡,11000413337,中金公司,2024,通信,3,42.51,,47,1292.01
张永嘉,11000373735,东兴证券,2024,计算机,2,42.42,,48,1424.2
陈伟光,11000276136,东莞证券,2024,传媒,8,42.35,,49,1122.32
刘浩,11000274637,华创证券,2024,医药生物,3,42.25,,50,829.06
蒋颖,11000300437,开源证券,2024,通信,11,41.57,,51,1059.19
郑小霞,11000181105,华安证券,2024,银行,3,41.17,,52,1078.46
张一纬,11000251733,中国银河,2024,银行,16,41.17,,53,1042.99
史博文,11000349233,东北证券,2024,通信,9,40.81,,54,1528.36
丁昊,11000415932,东方证券,2024,机械设备,3,40.77,,55,1407.71
付天姿,11000256652,光大证券,2024,传媒,3,40.59,,56,709.31
林瑾璐,11000258347,东兴证券,2024,银行,8,40.39,,57,978.18
刘洁冰,11000440933,太平洋,2024,,2,40.38,,58,1400.78
余金鑫,11000348131,民生证券,2024,银行,16,40.22,,59,1330.89
韩潇锐,11000445434,东方证券,2024,电子,7,40.1,,60,1400.98
郭中伟,11000305843,申万宏源,2024,有色金属,10,39.73,,61,1391.43
Lily Yang,11000259588,汇丰银行,2024,电子,0,39.5,,62,1395.02
王炜越,11000375631,中金公司,2024,机械设备,0,39.5,,63,1193.7
吕浩江,11000446839,交银国际证券,2024,食品饮料,0,39.26,,64,1392.62
马婷婷,11000256131,国泰海通,2024,银行,12,39.19,,65,1347.21
胡翔,11000210450,东吴证券,2024,非银金融,17,39.05,,66,1325.62
张昊晨,11000431331,国信证券,2024,传媒,7,38.56,,67,1385.64
刘源,11000357031,国泰海通,2024,银行,20,38.33,,68,1365.81
马祥云,11000251025,长江证券,2024,银行,11,38.19,,69,1190.32
郑奇,11000422031,国海证券,2024,电子,0,38.17,,70,1381.74
樊优,11000336533,中金公司,2024,非银金融,5,38.17,,71,1395.53
李子俊,11000377231,中信证券,2024,汽车,2,37.99,,72,967.26
蔡昕妤,11000443832,国泰海通,2024,美容护理,13,37.33,,73,1373.35
陈福,11000194228,广发证券,2024,非银金融,8,37.11,,74,3060.55
仇百良,11000370185,上海证券,2024,汽车,13,37.02,,75,1200.27
陈立,11000321631,国投证券,2024,房地产,1,36.43,,76,1149.06
张经纬,11000235725,国投证券,2024,非银金融,8,35.91,,77,1057.95
郑豪,11000405232,方正证券,2024,,20,35.89,,78,1442.86
王一峰,11000172361,光大证券,2024,非银金融,33,35.89,,79,1192.15
刘牧野,11000398333,中航证券,2024,电子,9,35.78,,80,2051.44
龚轶之,11000442834,信达证券,2024,轻工制造,1,35.65,,81,1356.46
肖楷,11000404331,中金公司,2024,电子,2,35.35,,82,1353.48
郑庆明,11000260135,申万宏源,2024,银行,15,35.24,,83,1185.59
张诗瑶,11000466443,江海证券,2024,机械设备,16,34.76,,84,1347.58
王玲瑶,11000393133,国盛证券,2024,食品饮料,2,34.67,,85,1346.66
常菁,11000250530,中金公司,2024,汽车,2,34.57,,86,2579.84
裴婉晓,11000432147,国联民生,2024,有色金属,2,34.23,,87,1342.31
刘呈祥,11000443232,开源证券,2024,银行,4,34.16,,88,1250.71
李双,11000335732,国投证券,2024,银行,7,33.99,,89,1074.34
杨灵修,11000206235,国联民生,2024,房地产,0,33.98,,90,790.06
方博云,11000353231,国海证券,2024,传媒,13,33.92,,91,1250.09
Lily Yang,11000355141,招银国际,2024,电子,8,33.56,,92,731.94
傅盛盛,11000311234,山西证券,2024,电子,0,33.55,,93,2207.85
舒思勤,11000370535,国金证券,2024,非银金融,1,33.54,,94,1335.4
陈晶,11000338732,华安证券,2024,通信,9,33.47,,95,1244.73
陈瑜熙,11000445340,开源证券,2024,电子,1,33.4,,96,1334.0
田源,11000206526,华源证券,2024,有色金属,15,33.17,,97,1528.51
尹欣驰,11000295837,中信证券,2024,汽车,14,33.09,,98,1512.41
马天诣,11000283632,民生证券,2024,通信,56,33.0,,99,1897.77
许旖珊,11000275531,方正证券,2024,非银金融,25,32.91,,100,1028.0
